"Year","Variable","Value","Type"
2017,"Ind_Oil_and_oil_products",339181,"Actual"
2017,"RT_Oil_products",344882,"Actual"
2017,"RT_Natural_gas",1348,"Actual"
2017,"RT_Biofuels_and_waste",175725,"Actual"
2017,"RT_Electricity",331271,"Actual"
2017,"Kom_Oil_products",30265,"Actual"
2017,"Kom_Natural_gas",6630,"Actual"
2017,"Kom_Biofuels_and_waste",8155,"Actual"
2017,"Kom_Electricity",203176,"Actual"
2018,"Ind_Coal_and_coal_products",493009,"Actual"
2018,"Ind_Natural_gas",642323,"Actual"
2018,"Ind_Biofuels_and_waste",264145,"Actual"
2018,"Ind_Electricity",441381,"Actual"
2018,"Ind_Oil_and_oil_products",306662,"Actual"
2018,"RT_Oil_products",361293,"Actual"
2018,"RT_Natural_gas",1318,"Actual"
2018,"RT_Biofuels_and_waste",167621,"Actual"
2018,"RT_Electricity",376353,"Actual"
2018,"Kom_Oil_products",25533,"Actual"
2018,"Kom_Natural_gas",6669,"Actual"
2018,"Kom_Biofuels_and_waste",8112,"Actual"
2018,"Kom_Electricity",223399,"Actual"
2019,"Ind_Coal_and_coal_products",549263,"Actual"
2019,"Ind_Natural_gas",616539,"Actual"
2019,"Ind_Biofuels_and_waste",276763,"Actual"
2019,"Ind_Electricity",461279,"Actual"
2019,"Ind_Oil_and_oil_products",253290,"Actual"
2019,"RT_Oil_products",370051,"Actual"
2019,"RT_Natural_gas",2213,"Actual"
2019,"RT_Biofuels_and_waste",145831,"Actual"
2019,"RT_Electricity",378178,"Actual"
2019,"Kom_Oil_products",20057,"Actual"
2019,"Kom_Natural_gas",6795,"Actual"
2019,"Kom_Biofuels_and_waste",10169,"Actual"
2019,"Kom_Electricity",235158,"Actual"
2020,"Ind_Coal_and_coal_products",521555,"Actual"
2020,"Ind_Natural_gas",580850,"Actual"
2020,"Ind_Biofuels_and_waste",338226,"Actual"
2020,"Ind_Electricity",473942,"Actual"
2020,"Ind_Oil_and_oil_products",261072,"Actual"
2020,"RT_Oil_products",379943,"Actual"
2020,"RT_Natural_gas",2436,"Actual"
2020,"RT_Biofuels_and_waste",131008,"Actual"
2020,"RT_Electricity",433219,"Actual"
2020,"Kom_Oil_products",19647,"Actual"
2020,"Kom_Natural_gas",4031,"Actual"
2020,"Kom_Biofuels_and_waste",10782,"Actual"
2020,"Kom_Electricity",218114,"Actual"
2021,"Ind_Coal_and_coal_products",535271,"Actual"
2021,"Ind_Natural_gas",602483,"Actual"
2021,"Ind_Biofuels_and_waste",348192,"Actual"
2021,"Ind_Electricity",554567,"Actual"
2021,"Ind_Oil_and_oil_products",249178,"Actual"
2021,"RT_Oil_products",395061,"Actual"
2021,"RT_Natural_gas",3039,"Actual"
2021,"RT_Biofuels_and_waste",125294,"Actual"
2021,"RT_Electricity",421887,"Actual"
2021,"Kom_Oil_products",21919,"Actual"
2021,"Kom_Natural_gas",3862,"Actual"
2021,"Kom_Biofuels_and_waste",11038,"Actual"
2021,"Kom_Electricity",225859,"Actual"
2022,"Ind_Coal_and_coal_products",622683,"Actual"
2022,"Ind_Natural_gas",580868,"Actual"
